
# list of issues fixed with this release (previous release was 3.3.1)

# commit             date                 issue      message

  ce287fdd35    2021-05-25T15:15:13+02:00    5718    bugfix_uimgt: after changing password the page return to precedent page correctly to fix #5718
  52fe2a1c1d    2021-06-29T10:11:22+02:00    5835    bugfix_uimgt: show default login module if a session exists to fix #5835
  9ec66b66c8    2021-06-29T09:26:57+02:00    5838    test_rest: added test rest for card relation sorting to Fix #5838
  e57c40d8a5    2021-06-28T14:25:34+02:00    5839    fix_sql: patched gis tables to set IdClass default value to Fix #5839
  2df758887f    2021-06-25T09:31:46+02:00    5827    feat_core: added possibility of sorting for card relations to Fix #5827
  caeb803d1a    2021-06-23T11:24:20+02:00    5796    bugfix_uimgt: check permissions on dynamic model creation to fix #5796
  2c9dc929de    2021-06-23T11:16:57+02:00    5824    bugfix_uimgt: show user messages when file download fails to fix #5824
  37f8f926ca    2021-06-23T10:47:37+02:00    5824    bugfix_uimgt: show user messages when file download fails to fix #5824
  db38c50771    2021-06-22T15:20:01+02:00    5817    bugfix_rest: serialize attachments with null category when dms cat is disabled Fix #5817
  c5b2bcc001    2021-06-21T10:30:06+02:00    5811    bugfix_uiadm: fix #5811 Column ordering in class administration module for boolean attributes no longer works
  94e22e6e65    2021-06-18T15:09:25+02:00    5791    fix_core: fixed block reference xdata for dwg import Fix #5791
  515df6ff98    2021-06-17T13:08:37+02:00    5804    bugfix_uimgt: show correct category inside grid when is present only one to fix #5804
  fc0b3fc32b    2021-06-17T13:01:14+02:00    5804    bugfix_uimgt: show correct category inside grid when is present only one to fix #5804
  10b128affe    2021-06-15T12:13:36+02:00    5771    bugfix_uimgt: detect correct sorting to fix #5771
  00781c6445    2021-06-15T12:04:54+02:00    5771    bugfix_uimgt: detect correct sorting to fix #5771
  8f6d7ab5d5    2021-06-15T09:07:51+02:00    5412    bugfix_uimgt: store with correct _type is load to fix #5412
  763cab6e3e    2021-06-14T15:08:49+02:00    5771    bugfix_uimgt: Add attachments from the document archive doesn't break the UI to fix #5771
  baa1b20d84    2021-06-14T10:42:07+02:00    5772    bugfix_uimgt: added support for multiline string to fix #5772
  7a1c87a451    2021-06-11T14:21:00+02:00    5783    bugfix_uimgt: delete console.log to fix #5783
  d5b9797165    2021-06-11T14:14:30+02:00    5783    bugfix_uimgt: reduce number of domains to fix #5783
  36e7679f80    2021-06-11T10:34:59+02:00    5763    feat_core: added filtering based on _type for card relations to Fix #5763
  d7be1e8b18    2021-06-11T09:47:29+02:00    5768    bugfix_uimgt: var forceDefault now operate correct in IE to fix #5768
  792e4ef6cb    2021-06-11T09:23:21+02:00    5786    improv_core: improved attachments stats in cards/process instances to Fix #5786
  4b824e5f9f    2021-06-10T15:18:01+02:00    5783    bugfix_uimgt: extended data on relations to fix #5783
  3628e1c0ac    2021-06-10T12:49:03+02:00    5768    bugfix_uimgt: default login module hidden working to fix #5768
  0e669d48bf    2021-06-10T12:23:34+02:00    5768    bugfix_uimgt: default login module hidden working to fix #5768
  852b3f437a    2021-06-09T16:57:05+02:00    5765    bugfix_uimgt: Custom form field set as not obbligatory in grid to fix #5765
  7301fcad97    2021-06-07T14:48:37+02:00    5761    fix #5761 ifc4 upload
  f0c09e9153    2021-06-07T11:56:55+02:00    5575    improv_core: improved performances of rls override query building to Fix #5575
  4406358373    2021-06-03T16:36:19+02:00    5412    bugfix_uimgt: Inline relations have delete and modify relation button to fix #5412
  7e21bd60a2    2021-05-31T16:11:12+02:00    5741    bugfix_uimgt: disable widget if class is undefined to fix #5741
  4b90495d45    2021-05-31T14:18:58+02:00    5747    bugfix_uiadm: fix #5747 Current user in relation search filter
  1c25c2b283    2021-05-31T12:45:44+02:00    5750    bugfix_ws: Fix #5750 fixed rest v2 dms cat id serialization
  94f42ba881    2021-05-31T10:58:42+02:00    5412    bugfix_uimgt: Inline relations have delete and modify relation button to fix #5412
  13ed5da1c2    2021-05-31T10:33:07+02:00    5726    bugfix_uimgt: send positionOf on store load in references field to fix #5726
  796931e1ab    2021-05-31T09:36:41+02:00    5743    bugfix_core: fix #5743, handle comma in email reference header
  a46b21d0bf    2021-05-28T10:45:24+02:00    5727    bugfix_uiadm: fix #5727 Domain Import/Export template
  43bfedfd31    2021-05-27T09:43:23+02:00    5738    improv_core: changed config type from env to system for dms default category to Fix #5738
  76ba2fb7fb    2021-05-26T11:42:03+02:00    5733    bugfix_uimgt: reload menu item after card creation on nav tree root to fix #5733
  c09c9dffde    2021-05-24T10:20:54+02:00    5521    bugfix_uimgt: activated remote sorting on relations to fix #5521
  c05347867c    2021-05-20T09:57:49+02:00    5706    bugfix_uimgt: fix #5706 Manage Attachments on closed activity doesn't work if active in the configuration system and disable on the process
  4978ca1f8d    2021-05-19T15:06:52+02:00    5703    bugfix_uimgt: Attachments - double click on attachments row doesn't open the attachment if user hasn't write permissions on that category to fix #5703
  b973980496    2021-05-18T11:28:59+02:00    5702    bugfix_uimgt: fix #5702 The category values are filterd, avoiding to show warning messages if the user doesn't have
  c887c4b79a    2021-05-13T09:53:34+02:00    5672    bugfix_uimgt: add custom fieldsets in custom dms models to fix #5672
  8ba87a4334    2021-05-12T16:45:19+02:00    5609    bugfix-core: fix #5609 : fixed issue when processing reference values within cql expressions
  65adcc9870    2021-05-12T14:59:15+02:00    5670    bugfix_uimgt: fix #5670. extent is cleared when new layer is add on map, so the strategy returs true to a new loading
  ca19001c15    2021-05-12T09:35:02+02:00    5661    bugfix_uiadm: fix #5661 Custom pages on custom routing are not visible from admin module
  26c08932b8    2021-05-11T12:05:20+02:00    5592    bugfix_uimgt: Fix #5592. added suggested code
  4313ac71f4    2021-05-07T17:55:19+02:00    5653    bugfix_uimgt: dates are set to blank values instead 1970-01-01 to fix #5653
  2b253513a1    2021-05-07T12:24:29+02:00    5645    bugfix_uimgt: new card added correctly in IE11 to fix #5645
  050e55ad48    2021-05-06T11:58:20+02:00    5612    bugfix_uimgt: fix #5612 Correct permission is now read from the
  0d9930cb1c    2021-05-06T11:28:45+02:00    5640    bugfix_uiadm: fix #5640 new ctx menu doesn't preserve config data
  f4c2b7243b    2021-05-06T10:27:55+02:00    5635    bugfix_uimgt: fix #5635, removed can_create  condition check on filters
  481bda3b1f    2021-05-04T16:39:05+02:00    5626    bugfix_uimgmt: fix #5626 Error on attachments preview if name contains []
