
# list of issues fixed with this release (previous release was 3.3.1)

# commit             date                 issue      message

  ff7a1a43c7    2021-03-25T10:11:35+01:00    5159    Fix #5159 Views from filter - Add card doesn't work
  663ea711d9    2021-03-24T17:53:55+01:00    5354    Fix #5354, default min is zero. if there is a minor value that is taken ad minimum. otherwise is zero. Not using minimum value
  f58ee3ff8e    2021-03-24T17:24:30+01:00    3501    Fix #3501 add orderIndex property for all columns in getcolumns function
  fb027e43e5    2021-03-24T16:21:27+01:00    5350    Fix #5350 removed disabled dms categories in dms permission serialization
  affc67e8c1    2021-03-24T15:48:26+01:00    5293    fix #5293 and implement #5234 Management - attachments permissions
  1b537caa1b    2021-03-24T12:34:44+01:00    5306    fix #5306 Attachment filter only with metadata filter returned as not valid
  9926f1a25d    2021-03-24T12:27:13+01:00    5342    Fix #5342, relation created when card created from master detail even if refernce field is not present
  118bf88502    2021-03-24T11:33:18+01:00    5299    Fix #5299
  a1f9abd7cd    2021-03-24T10:16:54+01:00    5341    Fix #5341 chenged csv encoding default value
  bbc8e9e41e    2021-03-24T09:35:25+01:00    5345    Fix #5345
  7e6b9aac8d    2021-03-23T17:41:23+01:00    5323    fix #5323 allow multiple classes as leafs
  736e2a1700    2021-03-23T16:51:57+01:00    5347    Fix #5347 disabled reports are now shown in admin module
  39ccce84ba    2021-03-23T16:04:43+01:00    5308    fix #5308 : fixed minor cad import issues
  c6bf2c4183    2021-03-23T15:56:59+01:00    5337    fix #5337 Admin module: UM position values are not translated
  8dcf3c8e8f    2021-03-23T15:41:58+01:00    5329    Fix #5329
  d54a6f9c34    2021-03-23T15:29:50+01:00    5338    fix #5338 Admin module: create attribute form
  9d36bfb780    2021-03-23T11:41:15+01:00    5204    fix #5204 upadted filter composition
  60396a0d47    2021-03-23T11:18:30+01:00    5336    Fix #5336 promoted caches to system to avoid hourly refresh
  6f0c602373    2021-03-23T10:55:20+01:00    5331    fix #5331 Remove csv separator from admin module
  29c82ccf4f    2021-03-23T09:54:03+01:00    5332    Fix #5332 accept req type in preload service
  9debc380c3    2021-03-22T16:50:31+01:00    5321    Fix #5321 added session refresh when active requests on session cleanup
  2edad4301e    2021-03-22T11:40:25+01:00    5323    fix #5323 wrong navigation tree behavior
  d5a6679886    2021-03-19T15:40:21+01:00    5317    fix #5317 export #administration/localizations/localization
  0cd78c01d3    2021-03-19T15:14:24+01:00    5316    fix #5316 #4887 Incorrect error message for invalid name or code input in administration
  2a476084f2    2021-03-19T15:06:18+01:00    5316    fix #5316 #4887 Incorrect error message for invalid name or code input in administration
  fdd7ea337b    2021-03-19T13:01:37+01:00    5315    fix #5315 Import/Export template "empty attribute list" message
  ed0826ac70    2021-03-19T12:42:02+01:00    5314    fix #5314  Import/Export template - "clone" behaviour
  5007f87770    2021-03-19T11:29:52+01:00    5324    Fix #5324 add CMDBuildUI before require of custom compontents
  6af97475d8    2021-03-18T17:31:18+01:00    5311    fix #5311 : use composite format for default export template config (same as import template config)
  d5cb50d838    2021-03-18T17:03:03+01:00    5207    Fix #5207 in getFormFields function add merge for have field without referencing with model field
  6a92d481d6    2021-03-18T10:29:55+01:00    5301    fix #5301 : email signature translation
  ff0f9c1111    2021-03-17T14:50:54+01:00    5014    Fix #5014. Cql for masterdetail domains was ignored. added to the advanced filter
  cbdebd9f89    2021-03-17T12:31:11+01:00    5296    Fix #5296 added endpoint to force system preload
  26d619990f    2021-03-17T11:38:31+01:00    5294    Fix #5294 read can_create
  1c7554b19c    2021-03-17T09:58:22+01:00    5281    fix #5281 Ok button in admin view on filter does nothing
  8f0b05efed    2021-03-16T14:07:55+01:00    5286    Fix #5286 completed preload translations endpoint
  cc6ae8f778    2021-03-16T11:01:14+01:00    5267    Fix #5267 Calendar widget values disappear
  aec9a55665    2021-03-15T16:57:17+01:00    5261    fix #5261 Cannot configure job for import DWG (GIS) from URL
  76b4bf3fb4    2021-03-15T11:11:53+01:00    5270    fix #5270 select record after creation on add/edit relation popup
  c18f246b73    2021-03-15T10:56:23+01:00    5250    Fix #5250 added widgetId where missing in widget data
  09c16525a4    2021-03-15T10:56:20+01:00    5278    Fix #5278. Introduced after #5176
  5b9f206aa3    2021-03-15T10:08:08+01:00    5243    fix #5243 N:N domain can't add inverse relation
  8cc5f1a0ef    2021-03-15T09:50:38+01:00    5198    Fix #5198 report improvements
  6b62fa3fa0    2021-03-15T09:50:38+01:00    5198    Fix #5198 report improvements
  f5c2c06221    2021-03-12T15:14:08+01:00    5258    fix #5258 Database import are not shown in the task manager
  4cdc2c2943    2021-03-11T16:23:51+01:00    5265    Fix #5265 removed dmsCategory description from class serialization
  a979acc4aa    2021-03-11T15:02:53+01:00    5260    fix #5260 : add filter on Activity column in process ws
  bd4688c950    2021-03-10T11:21:59+01:00    5236    Fix #5236
  c120c9c5ab    2021-03-10T10:17:31+01:00    5247    Fix #5247
  d9c532ec0c    2021-03-09T17:30:51+01:00    5242    fix #5242 unable to clone dwg template from deil window
  1760202724    2021-03-09T15:50:50+01:00    5239    Fix #5239 sync store only if not in async save mode
  71da962646    2021-03-09T15:37:53+01:00    5241    Fix #5241 add itemDescription on attachment widget
  5e0ff0e22f    2021-03-09T14:45:18+01:00    5235    fix #5235 Generic Errors on "Groups and permissions
  ca877e07bb    2021-03-08T15:17:22+01:00    5230    Fix #5230
  6236964015    2021-03-08T14:42:57+01:00    5188    Fix #5188 handled attachment category permission
  6a09faffbf    2021-03-08T12:52:12+01:00    5223    Fix #5223. Removed detailed=true when making events request
  7b6a34143d    2021-03-08T12:27:28+01:00    5201    fix #5201 File whose name contains [ ] gives bad request on download try
  da52925428    2021-03-05T17:44:49+01:00    5222    Fix #5222 improved non detailed response of scheduler events
  848228811e    2021-03-05T11:47:06+01:00    5179    fix #5179 Empty routing behaviour in admin module
  f21c689ff7    2021-03-05T11:37:50+01:00    5202    fix #5202 Cannot translate geo-attribute from administration management
  3f867e1735    2021-03-05T10:32:03+01:00    5185    fix #5185 #5200 Import DWG
  f3da7e3254    2021-03-04T18:13:15+01:00    5148    fix #5148 Error advancing process when in superclass
  ed797bff22    2021-03-04T17:55:01+01:00    5206    fix #5206 Domain name not visible anymore when editing reference attribute
  691259e294    2021-03-04T17:22:16+01:00    5194    Fix #5194 added support for external dumps with env folder
  7c75bbf438    2021-03-04T15:08:15+01:00    5208    fix #5208 Default Import / export combos are not updated after add or remove template from imports/export tab
  c122d21b72    2021-03-04T10:42:11+01:00    5203    fix #5203 System config decimal separator validation can't be blank
  aba26a578d    2021-03-03T14:34:08+01:00    5191    Fix #5191 fixed CreateModifyCard widget serialization in rest v2
  bc53d8171a    2021-03-03T11:50:26+01:00    5164    fix #5164 : fixed issue in join view query, when processing out of order table join
  9b0734db19    2021-03-03T11:27:34+01:00    5196    fix #5196 Gis navigation should manage view mode
  5b50d5547a    2021-03-03T11:27:34+01:00    5196    fix #5196 Gis navigation should manage view mode
  f375ef4bc9    2021-03-03T09:52:52+01:00    5133    fix #5133 : add auto context filter for cad import
  f54dad0bc3    2021-03-02T17:51:44+01:00    5193    fix #5193 Grant filter icon is higlighted also if column privileges are in default state
  a9386d1807    2021-03-02T10:39:50+01:00    4986    Fix #4986, tests made
  419cf370e4    2021-03-02T10:44:13+01:00    3688    Fix #3688. Description updates are reflected in the tree
  1dd3ed9bd7    2021-03-02T10:39:50+01:00    4986    Fix #4986, tests made
  bfbac1209d    2021-03-02T09:36:02+01:00    5125    fix #5125 Nav. Tree - updating the menu after creating a card
  a861ed6163    2021-03-01T17:24:48+01:00    5180    Fix #5180 Polygon geometry not shown on GIS map
  141211c392    2021-03-01T16:49:25+01:00    4988    Fix #4988 added composite filter validation
  42cab527b9    2021-03-01T16:42:26+01:00    5176    Fix #5176 Enable Contextual menu button item on maps
  1404724eb8    2021-03-01T11:05:44+01:00    5161    fix #5161 roles are not shown translated
  598705d0b2    2021-03-01T10:56:56+01:00    4964    fix #4964 : add expression for localized lookup descriptions in email template
  21b7625fe3    2021-02-26T17:33:22+01:00    5158    Fix #5158 added auto cleanup of attachments missing on dms
  dfd7009fe8    2021-03-01T09:40:05+01:00    4983    fix #4983 remove load mask affter the loading of the first page
  007a2cfa2d    2021-02-26T17:33:22+01:00    5158    Fix #5158 added auto cleanup of attachments missing on dms
  5e390d0010    2021-02-26T12:41:10+01:00    5156    Fix #5156 updated testContextProvider to accept system configs
  765d4a6402    2021-02-26T09:51:38+01:00    5165    Fix #5165 add empty fn for addConditionalVisibilityRules and addAutoValueRules
  ece5e8b066    2021-02-26T09:39:19+01:00    5121    fix #5121 'Default template for data import' config makes the template unselectable
  ad19db2dff    2021-02-26T09:39:19+01:00    5121    fix #5121 'Default template for data import' config makes the template unselectable
  69266f9e76    2021-02-25T17:37:34+01:00    5160    fix #5160 Administration lookup search is not working
  3142c979f2    2021-02-25T17:23:55+01:00    5155    fix #5155 Changing session timeout breaks interface
  b97b024106    2021-02-25T17:23:55+01:00    5155    fix #5155 Changing session timeout breaks interface
  4a6e3976c6    2021-02-25T16:58:34+01:00    5157    fix #5157 Import/export erase Class/Domain when changing applyon
  df3d9ad043    2021-02-25T12:36:18+01:00    5162    fix #5162 the descriptions of the objects under administration should not be considered valid if they contain only spaces
  12e0f35e95    2021-02-24T17:58:54+01:00    5152    fix #5152 Import management combo crash ui
  981354a98b    2021-02-24T16:20:21+01:00    5150    Fix #5150 translated lookup value in schema print
  439e7da145    2021-02-24T15:50:13+01:00    5149    fix #5149  Generic error when deleting class
  73cd4f5fd0    2021-02-24T14:38:30+01:00    5088    fix #5088 moving across classes is slow
  96ba5115cc    2021-02-24T10:27:10+01:00    5003    Fix #5003 added filter support for geoAttributes get center
  e05acb80fb    2021-02-24T10:27:10+01:00    5003    Fix #5003 added filter support for geoAttributes get center
  7ea1c1bf89    2021-02-23T12:54:51+01:00    5118    Fix #5118 fixed start new workflow with soap updateWorkflow
  98e986e377    2021-02-23T12:54:51+01:00    5118    Fix #5118 fixed start new workflow with soap updateWorkflow
  60a2d25d98    2021-02-23T12:34:51+01:00    5128    Fix #5128 added support for different APM in soap attribute list serialization
  3b82684894    2021-02-23T12:34:51+01:00    5128    Fix #5128 added support for different APM in soap attribute list serialization
  2b1666796f    2021-02-23T12:20:12+01:00    5129    Fix #5129 add filter for types by domain in add and edit relations
  b60628df8c    2021-02-23T09:57:10+01:00    5131    Fix #5131 RelationGraph - translation
  d504de56d8    2021-02-23T09:33:14+01:00    5146    fix #5146 class type combo validation
  8046a41116    2021-02-23T09:33:14+01:00    5146    fix #5146 class type combo validation
  f456252866    2021-02-22T15:56:06+01:00    5138    Added language header in rest preload function to Fix #5138
  b2ee75bde2    2021-02-22T12:40:53+01:00    5046    fix #5046 : sanitize notes/metadata of card attachments
  72ab20e7d9    2021-02-19T16:22:12+01:00    5135    fix #5135 Wrong geo-attribute creation on superclasses
  7e642eeabe    2021-02-19T10:36:49+01:00    5121    fix #5121 "Default template for data import" config makes the template unselectable
  f015d7a5f0    2021-02-18T11:36:13+01:00    5013    fix #5046, fix #5013 : mixed html security improvements, allow tables, add config `org.cmdbuild.email.defaultTextContentSecurity` and `org.cmdbuild.core.defaultTextContentSecurity` to enable html security on email content and card notes
  cba8ae3542    2021-02-18T11:36:13+01:00    5013    fix #5046, fix #5013 : mixed html security improvements, allow tables, add config `org.cmdbuild.email.defaultTextContentSecurity` and `org.cmdbuild.core.defaultTextContentSecurity` to enable html security on email content and card notes
  ac8cfe632c    2021-02-18T09:48:05+01:00    5119    fix #5119 Join view - loader stuck after save if attribute grouping contain space
  cf4fe1e484    2021-02-17T15:28:21+01:00    5114    Fix #5114 add _cmdbuildFields in render form and fix generate form in manage event
  53bcf1dfa3    2021-02-17T12:06:02+01:00    5113    fix #5113 Bug in menu folder translation saving
  f30310884b    2021-02-16T15:54:52+01:00    5107    Fix #5107 set attributes list in get attributes promise response
  d24aaec65d    2021-02-16T14:58:32+01:00    5047    Fix #5047 change reload to load for fix extjs issue EXTJS-23373
  f2a573da32    2021-02-16T14:26:47+01:00    5110    fix #5110 Search user in "All Users" list
  7b5678ca36    2021-02-16T11:48:50+01:00    5101    Fix #5101 added fulltext attachment search support for SharePoint
  544cf49bcd    2021-02-15T14:44:11+01:00    5008    Fix #5008 remove themerowheight to calculate view size
  a73442dd23    2021-02-15T10:54:38+01:00    5098    fix #5098 Admin module: when creating reference attribute all domains are selectable
  f1ca1b052b    2021-02-15T10:14:21+01:00    5100    Fix #5100. In applyFilter now is inserts the baseFilter
  8fef0b35c8    2021-02-12T12:41:53+01:00    5081    fix #5081 error when attaching a file to a process instance
  d20fe74609    2021-02-11T12:20:25+01:00    5071    fix #5071 When typing in view with filter atrtibute dropdown in administration fields gets reset
  c54c018376    2021-02-11T12:20:25+01:00    5071    fix #5071 When typing in view with filter atrtibute dropdown in administration fields gets reset
  811e3c15ea    2021-02-11T12:17:19+01:00    5089    Fix #5089 GIS: modificare ordine layer quando si va in modifica
  ead37cb8c7    2021-02-11T09:31:04+01:00    5066    Fix #5066 reversed templates for etl delete processing
  2a2feaea0f    2021-02-10T12:25:44+01:00    5080    Fix #5080 updated report db constraint in report improvement patch to consider only status A
  e121f22a49    2021-02-09T17:06:25+01:00    5053    fix #5053 Translation on create email
  46f2ecb77f    2021-02-09T10:39:42+01:00    5020    fix #5020 As in administration show `View from join` numeric step
  c628a61555    2021-02-09T10:39:42+01:00    5020    fix #5020 As in administration show `View from join` numeric step
  a526c70e32    2021-02-09T09:38:19+01:00    5030    fix #5030 #5062 task import database + validation of errorEmailTemplate
  7c432a0b3f    2021-02-09T09:38:19+01:00    5030    fix #5030 #5062 task import database + validation of errorEmailTemplate
  66ec09c2aa    2021-02-08T17:01:41+01:00    5023    fix #5023 cross site scripting issues
  1fa085169f    2021-02-08T16:49:34+01:00    5040    Fix #5040 added permission for relation graph
  b1af254ef1    2021-02-08T15:49:18+01:00    5011    Fix #5011 ensure visible now works as expected
  5ec35b92f3    2021-02-08T11:56:45+01:00    5055    fix #5055 Cannot set multitenant mode on processes
  ea62959543    2021-02-08T09:31:34+01:00    5021    Fix #5021 added domainTrees endpoint to invert navtree directions
  c461e66d93    2021-02-05T15:50:44+01:00    5049    fix #5049 fixed regexp used to display tousands separator
  6e29e8ad0b    2021-02-05T11:36:49+01:00    5032    Fix #5032 improved domain source and target check functions
  2195b5cf27    2021-02-05T11:01:30+01:00    5031    fix #5031 Add task in task manager doesn't have all possible options
  1a5c5396ae    2021-02-05T10:16:50+01:00    5045    Fix #5045 fixed total cound in view with join card list
  1e520f4119    2021-02-05T09:53:04+01:00    5035    Fix #5035 added test rest for view with join sorting and fulltext search
  644935619a    2021-02-04T16:40:30+01:00    5017    fix #5017 Open import/export template from class
  ad6657b378    2021-02-04T16:03:21+01:00    5039    fix #5039 Cannot configure behavior on missing records for import DWG
  6b2c7340d3    2021-02-03T12:11:53+00:00    5023    fix #5023 resolved Cross Site Scripting issue in attachments grid
  4f52cb3323    2021-02-03T13:11:53+01:00    5023    fix #5023 resolved Cross Site Scripting issue in attachments grid
  3c84617e60    2021-02-03T12:33:37+01:00    4291    Fix #4291 fixed domain description translation in card report
  dfae08e020    2021-02-02T18:23:58+01:00    5010    fix #5010 Expand view record is slow
  6033b86aed    2021-02-02T17:38:09+01:00    5005    fix #5005 `Select/Deselect all` in tenant dropdown issue
  edb9af8cd5    2021-02-01T17:00:58+01:00    4999    Fix #4999 updated release script to remove UI docs
  103b023f5d    2021-02-01T17:00:58+01:00    4999    Fix #4999 updated release script to remove UI docs
  b37a194d25    2021-02-01T16:45:50+01:00    4991    fix #4991 Dasbhoard pop-up not working properly
  2d4ca05fdd    2021-02-01T16:45:50+01:00    4991    fix #4991 Dasbhoard pop-up not working properly
  e081061aaa    2021-02-01T16:25:37+01:00    4991    fix #4991 Dasbhoard pop-up not working properly
  ea3977d910    2021-02-01T16:25:37+01:00    4991    fix #4991 Dasbhoard pop-up not working properly
  fe0bb45c2b    2021-02-01T12:38:52+01:00    4991    fix #4991 Dasbhoard pop-up not working properly
  fc99f6af6d    2021-02-01T12:38:52+01:00    4991    fix #4991 Dasbhoard pop-up not working properly
  fbd1a3fbf7    2021-02-01T11:31:05+01:00    5001    Fix #5001 fixed filtering on navtree items
  ae43ec8da3    2021-02-01T11:31:05+01:00    5001    Fix #5001 fixed filtering on navtree items
  6a4a737aec    2021-01-29T14:59:13+01:00    4998    Fix #4998 fixed attribute filter handling for geovalues
  5d71187aed    2021-01-29T14:59:13+01:00    4998    Fix #4998 fixed attribute filter handling for geovalues
  1643e13f0c    2021-01-29T12:30:32+01:00    4987    fix #4987 Menu is not ordered correctly anymore
  33cc832070    2021-01-29T10:22:42+01:00    4992    fix #4992 User activation botton not working in administration
  b71e59a62b    2021-01-27T14:59:28+01:00    4977    Fix #4977 restored missing fk triggers
  2255ed8ecc    2021-01-27T10:07:40+01:00    4976    Fix #4976 etl templates search now handles fileFormat based filter
  27dd273028    2021-01-26T14:37:26+01:00    4950    Fix #4950 update _AttributeMetadata on attribute deletion
  4e1c4d02af    2021-01-26T11:55:03+01:00    4946    Fix #4946 print csv grid no longer uses thousand separator for numeric fields
  6cb4a0fcbf    2021-01-26T11:44:06+01:00    4953    fix #4953 : correct gis surface area from cad for gis import, in attr `area`
  6d01b091b4    2021-01-26T11:35:01+01:00    4975    fix #4975 Join view - wrong attributes in case of domains with the same code of a class
  a4e25284bb    2021-01-26T11:31:34+01:00    4974    fix #4974 administration import gis template wrong validation
  d6696bd968    2021-01-26T11:19:19+01:00    4943    fix #4943 : fixed issue with relative location gis import, when reference points to superclass
  4afa2b16bc    2021-01-26T09:39:38+01:00    4968    fix #4968 : disable cad hatch parsing (not used anyway)

# list of issues fixed since 2021-09-14 (regardless of release)

# commit             date                 issue      message

  c32e3d0ec5    2021-10-13T15:49:36+02:00    6287    bugfix_rest: bugfix in null serialization of idcardcqlselector rest v2 to Fix #6287
  097c23058b    2021-10-12T14:58:18+02:00    6226    bugfix_uimgt: fix #6226 Relation - Timestamp not parsed
  e53c1c23f8    2021-10-12T11:24:25+02:00    6226    bugfix_uimgt: fix #6226 Relation - Timestamp not parsed
  c3fd392762    2021-09-29T17:01:43+02:00    6210    feature_core: add import translation feature, fix #6210
  57c57ff23d    2021-09-27T14:32:45+02:00    6200    bugfix_core: minor fix for context menu config handling to Fix #6200
  b337c4e9ed    2021-09-16T12:57:50+02:00    6134    bugfix_uiadm: fix #6134 After configuring tenant in admin UI breaks
  0d164bf56c    2021-09-15T16:50:37+02:00    6037    bugfix_core: improved performance of fulltext filter query, fix #6037

